,week_number,death_yn,cdc_case_earliest_dt,cdc_report_dt,year,month,year_month,week_range
232,2022-03-22,No,2022-03-22,43836,2022,3,2022-03,2022-03-22 to 2022-03-28
233,2022-03-22,Yes,2022-03-22,579,2022,3,2022-03,2022-03-22 to 2022-03-28
234,2022-03-29,No,2022-03-29,54004,2022,3,2022-03,2022-03-29 to 2022-04-04
235,2022-03-29,Yes,2022-03-29,577,2022,3,2022-03,2022-03-29 to 2022-04-04
236,2022-04-05,No,2022-04-05,68992,2022,4,2022-04,2022-04-05 to 2022-04-11
237,2022-04-05,Yes,2022-04-05,631,2022,4,2022-04,2022-04-05 to 2022-04-11
238,2022-04-12,No,2022-04-12,84439,2022,4,2022-04,2022-04-12 to 2022-04-18
239,2022-04-12,Yes,2022-04-12,700,2022,4,2022-04,2022-04-12 to 2022-04-18
240,2022-04-19,No,2022-04-19,104360,2022,4,2022-04,2022-04-19 to 2022-04-25
241,2022-04-19,Yes,2022-04-19,885,2022,4,2022-04,2022-04-19 to 2022-04-25
242,2022-04-26,No,2022-04-26,146440,2022,4,2022-04,2022-04-26 to 2022-05-02
243,2022-04-26,Yes,2022-04-26,1111,2022,4,2022-04,2022-04-26 to 2022-05-02
244,2022-05-03,No,2022-05-03,244340,2022,5,2022-05,2022-05-03 to 2022-05-09
245,2022-05-03,Yes,2022-05-03,1333,2022,5,2022-05,2022-05-03 to 2022-05-09
246,2022-05-10,No,2022-05-10,217918,2022,5,2022-05,2022-05-10 to 2022-05-16
247,2022-05-10,Yes,2022-05-10,1561,2022,5,2022-05,2022-05-10 to 2022-05-16
248,2022-05-17,No,2022-05-17,241855,2022,5,2022-05,2022-05-17 to 2022-05-23
249,2022-05-17,Yes,2022-05-17,1616,2022,5,2022-05,2022-05-17 to 2022-05-23
250,2022-05-24,No,2022-05-24,127169,2022,5,2022-05,2022-05-24 to 2022-05-30
251,2022-05-24,Yes,2022-05-24,1684,2022,5,2022-05,2022-05-24 to 2022-05-30
252,2022-05-31,No,2022-05-31,207582,2022,5,2022-05,2022-05-31 to 2022-06-06
253,2022-05-31,Yes,2022-05-31,1941,2022,5,2022-05,2022-05-31 to 2022-06-06
254,2022-06-07,No,2022-06-07,125298,2022,6,2022-06,2022-06-07 to 2022-06-13
255,2022-06-07,Yes,2022-06-07,1858,2022,6,2022-06,2022-06-07 to 2022-06-13
256,2022-06-14,No,2022-06-14,115957,2022,6,2022-06,2022-06-14 to 2022-06-20
257,2022-06-14,Yes,2022-06-14,1865,2022,6,2022-06,2022-06-14 to 2022-06-20
258,2022-06-21,No,2022-06-21,143496,2022,6,2022-06,2022-06-21 to 2022-06-27
259,2022-06-21,Yes,2022-06-21,1984,2022,6,2022-06,2022-06-21 to 2022-06-27
260,2022-06-28,No,2022-06-28,123121,2022,6,2022-06,2022-06-28 to 2022-07-04
261,2022-06-28,Yes,2022-06-28,2093,2022,6,2022-06,2022-06-28 to 2022-07-04
262,2022-07-05,No,2022-07-05,165961,2022,7,2022-07,2022-07-05 to 2022-07-11
263,2022-07-05,Yes,2022-07-05,2454,2022,7,2022-07,2022-07-05 to 2022-07-11
264,2022-07-12,No,2022-07-12,153159,2022,7,2022-07,2022-07-12 to 2022-07-18
265,2022-07-12,Yes,2022-07-12,2563,2022,7,2022-07,2022-07-12 to 2022-07-18
